Entry,Gene.names...primary..,Entry.name,Protein.names,Transmembrane,Passes,membrane,singlepass,multipass,GPI-anchored
Q5JTH9,RRP12,RRP12_HUMAN,RRP12-like protein,TRANSMEM 903 923 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5JTV8,TOR1AIP1,TOIP1_HUMAN,Torsin-1A-interacting protein 1 (Lamin-associated protein 1B) (LAP1B),TRANSMEM 339 355 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5JX69,FAM209B,F209B_HUMAN,Protein FAM209B,TRANSMEM 53 73 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5JX71,FAM209A,F209A_HUMAN,Protein FAM209A,TRANSMEM 53 73 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5JXA9,SIRPB2,SIRB2_HUMAN,Signal-regulatory protein beta-2 (SIRP-beta-2) (Protein tyrosine phosphatase non-receptor type substrate 1-like 3) (Protein tyrosine phosphatase non-receptor type substrate protein),TRANSMEM 288 308 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5JZY3,EPHA10,EPHAA_HUMAN,Ephrin type-A receptor 10 (EC 2.7.10.1),TRANSMEM 566 586 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5KU26,COLEC12,COL12_HUMAN,Collectin-12 (Collectin placenta protein 1) (CL-P1) (hCL-P1) (Nurse cell scavenger receptor 2) (Scavenger receptor class A member 4) (Scavenger receptor with C-type lectin),TRANSMEM 38 58 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q5QGT7,RTP2,RTP2_HUMAN,Receptor-transporting protein 2 (3CxxC-type zinc finger protein 2),TRANSMEM 197 219 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5QGZ9,CLEC12A,CL12A_HUMAN,C-type lectin domain family 12 member A (C-type lectin-like molecule 1) (CLL-1) (Dendritic cell-associated lectin 2) (DCAL-2) (Myeloid inhibitory C-type lectin-like receptor) (MICL),TRANSMEM 44 64 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q5R3F8,ELFN2,PPR29_HUMAN,Protein phosphatase 1 regulatory subunit 29 (Extracellular leucine-rich repeat and fibronectin type III domain-containing protein 2) (Leucine-rich repeat and fibronectin type-III domain-containing protein 6) (Leucine-rich repeat-containing protein 62),TRANSMEM 398 418 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5RGS3,FAM74A1,F74A1_HUMAN,Protein FAM74A1,TRANSMEM 89 109 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5SGD2,PPM1L,PPM1L_HUMAN,Protein phosphatase 1L (EC 3.1.3.16) (Protein phosphatase 1-like) (Protein phosphatase 2C isoform epsilon) (PP2C-epsilon),TRANSMEM 26 42 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5SQ64,LY6G6F,LY66F_HUMAN,Lymphocyte antigen 6 complex locus protein G6f,TRANSMEM 236 256 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5SRI9,MANEA,MANEA_HUMAN,"Glycoprotein endo-alpha-1,2-mannosidase (Endo-alpha mannosidase) (Endomannosidase) (hEndo) (EC 3.2.1.130) (Mandaselin)",TRANSMEM 9 29 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q5SSG8,MUC21,MUC21_HUMAN,Mucin-21 (MUC-21) (Epiglycanin),TRANSMEM 480 500 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5SY80,CATSPERE,CTSRE_HUMAN,Cation channel sperm-associated protein subunit epsilon (CatSper-epsilon) (CatSperepsilon),TRANSMEM 904 924 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5SZI1,LDLRAD2,LRAD2_HUMAN,Low-density lipoprotein receptor class A domain-containing protein 2,TRANSMEM 234 250 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5SZK8,FREM2,FREM2_HUMAN,FRAS1-related extracellular matrix protein 2 (ECM3 homolog),TRANSMEM 3114 3134 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5T1S8,NCMAP,NCMAP_HUMAN,Noncompact myelin-associated protein (Myelin protein of 11 kDa) (MP11),TRANSMEM 31 51 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5T292,C10orf128,CJ128_HUMAN,Putative uncharacterized protein C10orf128,TRANSMEM 39 59 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5T2D2,TREML2,TRML2_HUMAN,Trem-like transcript 2 protein (TLT-2) (Triggering receptor expressed on myeloid cells-like protein 2),TRANSMEM 269 289 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5T2E6,C10orf76,CJ076_HUMAN,UPF0668 protein C10orf76,TRANSMEM 520 538 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5T4J0,GCNT6,GCNT6_HUMAN,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 6 (EC 2.4.1.-)",TRANSMEM 3 23 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q5T6X4,FAM162B,F162B_HUMAN,Protein FAM162B,TRANSMEM 107 127 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5T700,LDLRAD1,LRAD1_HUMAN,Low-density lipoprotein receptor class A domain-containing protein 1,TRANSMEM 43 63 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5T7M9,FAM69A,FA69A_HUMAN,Protein FAM69A,TRANSMEM 28 48 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5T7P8,SYT6,SYT6_HUMAN,Synaptotagmin-6 (Synaptotagmin VI) (SytVI),TRANSMEM 60 80 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5T7R7,C1orf185,CA185_HUMAN,Uncharacterized protein C1orf185,TRANSMEM 17 37 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5T8D3,ACBD5,ACBD5_HUMAN,Acyl-CoA-binding domain-containing protein 5,TRANSMEM 506 526 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5TAT6,COL13A1,CODA1_HUMAN,Collagen alpha-1(XIII) chain (COLXIIIA1),TRANSMEM 45 61 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q5TEA6,SEL1L2,SE1L2_HUMAN,Protein sel-1 homolog 2 (Suppressor of lin-12-like protein 2) (Sel-1L2),TRANSMEM 663 683 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5TF21,SOGA3,SOGA3_HUMAN,Protein SOGA3,TRANSMEM 915 935 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5TFQ8,SIRPB1,SIRBL_HUMAN,Signal-regulatory protein beta-1 isoform 3 (SIRP-beta-1 isoform 3),TRANSMEM 372 392 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5TGI0,FAXC,FAXC_HUMAN,Failed axon connections homolog,TRANSMEM 68 88 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5TGZ0,MINOS1,MIC10_HUMAN,MICOS complex subunit MIC10 (Mitochondrial inner membrane organizing system protein 1),TRANSMEM 17 36 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5TH69,ARFGEF3,BIG3_HUMAN,Brefeldin A-inhibited guanine nucleotide-exchange protein 3 (ARFGEF family member 3),TRANSMEM 1492 1512 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5TZJ5,SPATA31A1,S31A1_HUMAN,Spermatogenesis-associated protein 31A1 (Protein FAM75A1),TRANSMEM 23 43 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5U4P2,ASPHD1,ASPH1_HUMAN,Aspartate beta-hydroxylase domain-containing protein 1 (EC 1.14.11.-),TRANSMEM 73 95 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5UCC4,EMC10,EMC10_HUMAN,ER membrane protein complex subunit 10 (Hematopoietic signal peptide-containing membrane domain-containing protein 1),TRANSMEM 222 242 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5VSG8,MANEAL,MANEL_HUMAN,"Glycoprotein endo-alpha-1,2-mannosidase-like protein (EC 3.2.1.-)",TRANSMEM 9 29 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q5VT66,1-Mar,MARC1_HUMAN,Mitochondrial amidoxime-reducing component 1 (mARC1) (EC 1.-.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 1) (MOSC domain-containing protein 1) (Moco sulfurase C-terminal domain-containing protein 1),TRANSMEM 21 40 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q5VT99,LRRC38,LRC38_HUMAN,Leucine-rich repeat-containing protein 38 (BK channel auxiliary gamma subunit LRRC38),TRANSMEM 250 270 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5VTJ3,KLHDC7A,KLD7A_HUMAN,Kelch domain-containing protein 7A,TRANSMEM 21 38 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5VTT2,C9orf135,CI135_HUMAN,Protein C9orf135,TRANSMEM 124 140 Helical. {ECO:0000255}.,1,+,+,NA,NA
P0DPA2,VSIG8,VSIG8_HUMAN,V-set and immunoglobulin domain-containing protein 8,TRANSMEM 264 284 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5VU36,SPATA31A5,S31A5_HUMAN,Spermatogenesis-associated protein 31A5 (Protein FAM75A5),TRANSMEM 23 43 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5VU65,NUP210L,P210L_HUMAN,Nuclear pore membrane glycoprotein 210-like (Nucleoporin 210 kDa-like) (Nucleoporin Nup210-like),TRANSMEM 1813 1833 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5VU97,CACHD1,CAHD1_HUMAN,VWFA and cache domain-containing protein 1 (Cache domain-containing protein 1),TRANSMEM 1096 1116 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5VUB5,FAM171A1,F1711_HUMAN,Protein FAM171A1 (Astroprincin),TRANSMEM 304 324 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5VUD6,FAM69B,FA69B_HUMAN,Protein FAM69B,TRANSMEM 31 51 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5VUY2,AADACL4,ADCL4_HUMAN,Arylacetamide deacetylase-like 4 (EC 3.1.1.-),TRANSMEM 5 25 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q5VV42,CDKAL1,CDKAL_HUMAN,Threonylcarbamoyladenosine tRNA methylthiotransferase (EC 2.8.4.5) (CDK5 regulatory subunit-associated protein 1-like 1) (tRNA-t(6)A37 methylthiotransferase),TRANSMEM 556 578 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5VV43,KIAA0319,K0319_HUMAN,Dyslexia-associated protein KIAA0319,TRANSMEM 956 976 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5VV63,ATRNL1,ATRN1_HUMAN,Attractin-like protein 1,TRANSMEM 1231 1251 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5VVP1,SPATA31A6,S31A6_HUMAN,Spermatogenesis-associated protein 31A6 (Protein FAM75A6),TRANSMEM 23 43 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5VWK5,IL23R,IL23R_HUMAN,Interleukin-23 receptor (IL-23 receptor) (IL-23R),TRANSMEM 356 376 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5VX71,SUSD4,SUSD4_HUMAN,Sushi domain-containing protein 4,TRANSMEM 320 340 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5VY43,PEAR1,PEAR1_HUMAN,Platelet endothelial aggregation receptor 1 (hPEAR1) (Multiple epidermal growth factor-like domains protein 12) (Multiple EGF-like domains protein 12),TRANSMEM 756 776 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5VYJ5,MALRD1,MALR1_HUMAN,MAM and LDL-receptor class A domain-containing protein 1,TRANSMEM 2077 2097 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5VYP0,SPATA31A3,S31A3_HUMAN,Spermatogenesis-associated protein 31A3 (Protein FAM75A3),TRANSMEM 23 43 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5VZ72,IZUMO3,IZUM3_HUMAN,Izumo sperm-egg fusion protein 3,TRANSMEM 175 195 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5W0N0,C9orf57,CI057_HUMAN,Uncharacterized protein C9orf57,TRANSMEM 30 50 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5XG99,LYSMD4,LYSM4_HUMAN,LysM and putative peptidoglycan-binding domain-containing protein 4,TRANSMEM 218 238 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5Y7A7,HLA-DRB1,2B1D_HUMAN,"HLA class II histocompatibility antigen, DRB1-13 beta chain (MHC class II antigen DRB1*13) (DR-13) (DR13)",TRANSMEM 228 248 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q5ZPR3,CD276,CD276_HUMAN,CD276 antigen (4Ig-B7-H3) (B7 homolog 3) (B7-H3) (Costimulatory molecule) (CD antigen CD276),TRANSMEM 467 487 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q60682,Klra8,KLRA8_MOUSE,Killer cell lectin-like receptor 8 (Lymphocyte antigen 49h) (Ly-49h) (T-cell surface glycoprotein Ly-49H),TRANSMEM 45 66 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q629K1,TRIQK,TRIQK_HUMAN,Triple QxxK/R motif-containing protein (Triple repetitive-sequence of QXXK/R protein homolog),TRANSMEM 51 71 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q658N2,WSCD1,WSCD1_HUMAN,WSC domain-containing protein 1,TRANSMEM 15 35 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q66K14,TBC1D9B,TBC9B_HUMAN,TBC1 domain family member 9B,TRANSMEM 668 688 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q685J3,MUC17,MUC17_HUMAN,Mucin-17 (MUC-17) (Small intestinal mucin-3) (MUC-3),TRANSMEM 4394 4414 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q68CJ9,CREB3L3,CR3L3_HUMAN,Cyclic AMP-responsive element-binding protein 3-like protein 3 (cAMP-responsive element-binding protein 3-like protein 3) (Transcription factor CREB-H) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 3],TRANSMEM 323 343 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q68CQ7,GLT8D1,GL8D1_HUMAN,Glycosyltransferase 8 domain-containing protein 1 (EC 2.4.1.-),TRANSMEM 8 28 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q68CR1,SEL1L3,SE1L3_HUMAN,Protein sel-1 homolog 3 (Suppressor of lin-12-like protein 3) (Sel-1L3),TRANSMEM 1057 1077 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q68D85,NCR3LG1,NR3L1_HUMAN,Natural cytotoxicity triggering receptor 3 ligand 1 (B7 homolog 6) (B7-H6),TRANSMEM 263 283 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q68DV7,RNF43,RNF43_HUMAN,E3 ubiquitin-protein ligase RNF43 (EC 2.3.2.27) (RING finger protein 43) (RING-type E3 ubiquitin transferase RNF43),TRANSMEM 198 218 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q68G75,LEMD1,LEMD1_HUMAN,LEM domain-containing protein 1 (Cancer/testis antigen 50) (CT50) (LEM domain protein 1) (LEMP-1),TRANSMEM 152 172 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q69384,ERVK-6,ENK6_HUMAN,Endogenous retrovirus group K member 6 Env polyprotein (EnvK2 protein) (Envelope polyprotein) (HERV-K(C7) envelope protein) (HERV-K(HML-2.HOM) envelope protein) (HERV-K108 envelope protein) (HERV-K_7p22.1 provirus ancestral Env polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)],TRANSMEM 633 653 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6AZY7,SCARA3,SCAR3_HUMAN,Scavenger receptor class A member 3 (Cellular stress response gene protein),TRANSMEM 57 77 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q6DN72,FCRL6,FCRL6_HUMAN,Fc receptor-like protein 6 (FcR-like protein 6) (FcRL6) (Fc receptor homolog 6) (FcRH6) (IFGP6),TRANSMEM 308 328 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6EIG7,CLEC6A,CLC6A_HUMAN,C-type lectin domain family 6 member A (C-type lectin superfamily member 10) (Dendritic cell-associated C-type lectin 2) (DC-associated C-type lectin 2) (Dectin-2),TRANSMEM 21 41 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q6EMK4,VASN,VASN_HUMAN,Vasorin (Protein slit-like 2),TRANSMEM 576 596 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6GMR7,FAAH2,FAAH2_HUMAN,Fatty-acid amide hydrolase 2 (EC 3.5.1.99) (Amidase domain-containing protein) (Anandamide amidohydrolase 2) (Oleamide hydrolase 2),TRANSMEM 11 31 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6GPH6,ITPRIPL1,IPIL1_HUMAN,"Inositol 1,4,5-trisphosphate receptor-interacting protein-like 1",TRANSMEM 104 124 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6GTX8,LAIR1,LAIR1_HUMAN,Leukocyte-associated immunoglobulin-like receptor 1 (LAIR-1) (hLAIR1) (CD antigen CD305),TRANSMEM 166 186 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6H3X3,RAET1G,ULBP5_HUMAN,UL-16 binding protein 5 (Retinoic acid early transcript 1G protein),TRANSMEM 224 243 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6IA17,SIGIRR,SIGIR_HUMAN,Single Ig IL-1-related receptor (Single Ig IL-1R-related molecule) (Single immunoglobulin domain-containing IL1R-related protein) (Toll/interleukin-1 receptor 8) (TIR8),TRANSMEM 119 139 Helical; Signal-anchor for type III membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q6IAN0,DHRS7B,DRS7B_HUMAN,Dehydrogenase/reductase SDR family member 7B (EC 1.1.-.-) (Short-chain dehydrogenase/reductase family 32C member 1),TRANSMEM 18 38 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q6ICH7,ASPHD2,ASPH2_HUMAN,Aspartate beta-hydroxylase domain-containing protein 2 (EC 1.14.11.-),TRANSMEM 59 79 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6IEE7,TMEM132E,T132E_HUMAN,Transmembrane protein 132E,TRANSMEM 804 824 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6IEE8,SLFN12L,SN12L_HUMAN,Schlafen family member 12-like,TRANSMEM 566 586 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6IS24,GALNT17,GLT17_HUMAN,Polypeptide N-acetylgalactosaminyltransferase 17 (EC 2.4.1.41) (Polypeptide GalNAc transferase-like protein 3) (GalNAc-T-like protein 3) (pp-GaNTase-like protein 3) (Protein-UDP acetylgalactosaminyltransferase-like protein 3) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 3) (Williams-Beuren syndrome chromosomal region 17 protein),TRANSMEM 7 27 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q6ISU1,PTCRA,PTCRA_HUMAN,Pre T-cell antigen receptor alpha (pT-alpha) (pTa) (pT-alpha-TCR),TRANSMEM 147 167 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6J9G0,STYK1,STYK1_HUMAN,Tyrosine-protein kinase STYK1 (EC 2.7.10.2) (Novel oncogene with kinase domain) (Protein PK-unique) (Serine/threonine/tyrosine kinase 1),TRANSMEM 26 46 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6L9W6,B4GALNT3,B4GN3_HUMAN,"Beta-1,4-N-acetylgalactosaminyltransferase 3 (B4GalNAcT3) (Beta4GalNAc-T3) (Beta4GalNAcT3) (EC 2.4.1.244) (Beta-1,4-N-acetylgalactosaminyltransferase III) (N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 2) (NGalNAc-T2)",TRANSMEM 25 45 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q6MZM0,HEPHL1,HPHL1_HUMAN,Hephaestin-like protein 1 (EC 1.-.-.-),TRANSMEM 1115 1135 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6N022,TENM4,TEN4_HUMAN,Teneurin-4 (Ten-4) (Protein Odd Oz/ten-m homolog 4) (Tenascin-M4) (Ten-m4) (Teneurin transmembrane protein 4),TRANSMEM 346 366 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6NSJ0,KIAA1161,K1161_HUMAN,Uncharacterized family 31 glucosidase KIAA1161 (EC 3.2.1.-),TRANSMEM 57 77 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q6NUJ2,C11orf87,CK087_HUMAN,Uncharacterized protein C11orf87,TRANSMEM 62 82 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6NUS6,TCTN3,TECT3_HUMAN,Tectonic-3,TRANSMEM 582 602 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6NUS8,UGT3A1,UD3A1_HUMAN,UDP-glucuronosyltransferase 3A1 (UDPGT 3A1) (EC 2.4.1.17),TRANSMEM 484 504 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6P0A1,FAM180B,F180B_HUMAN,Protein FAM180B,TRANSMEM 39 59 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6P179,ERAP2,ERAP2_HUMAN,Endoplasmic reticulum aminopeptidase 2 (EC 3.4.11.-) (Leukocyte-derived arginine aminopeptidase) (L-RAP),TRANSMEM 21 40 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q6P1J6,PLB1,PLB1_HUMAN,"Phospholipase B1, membrane-associated (Phospholipase B) (hPLB) (Phospholipase B/lipase) (PLB/LIP) [Includes: Phospholipase A2 (EC 3.1.1.4); Lysophospholipase (EC 3.1.1.5)]",TRANSMEM 1418 1438 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6P1Q0,LETMD1,LTMD1_HUMAN,LETM1 domain-containing protein 1 (Cervical cancer 1 proto-oncogene protein p40) (Cervical cancer proto-oncogene 2 protein) (HCCR-1) (HCRR-2),TRANSMEM 138 158 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6P1S2,C3orf33,CC033_HUMAN,Protein C3orf33 (Protein AC3-33),TRANSMEM 40 56 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6P2H8,TMEM53,TMM53_HUMAN,Transmembrane protein 53,TRANSMEM 171 191 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6P4E1,CASC4,CASC4_HUMAN,Protein CASC4 (Cancer susceptibility candidate gene 4 protein),TRANSMEM 15 35 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q6P4F1,FUT10,FUT10_HUMAN,"Alpha-(1,3)-fucosyltransferase 10 (EC 2.4.1.-) (Fucosyltransferase X) (Fuc-TX) (FucT-X) (Galactoside 3-L-fucosyltransferase 10) (Fucosyltransferase 10)",TRANSMEM 9 31 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q6P4H8,FAM173B,F173B_HUMAN,Protein FAM173B,TRANSMEM 38 58 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6P531,GGT6,GGT6_HUMAN,Glutathione hydrolase 6 (EC 3.4.19.13) (Gamma-glutamyltransferase 6) (GGT 6) (EC 2.3.2.2) (Gamma-glutamyltranspeptidase 6) [Cleaved into: Glutathione hydrolase 6 heavy chain; Glutathione hydrolase 6 light chain],TRANSMEM 55 75 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q6P7N7,TMEM81,TMM81_HUMAN,Transmembrane protein 81,TRANSMEM 227 247 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6P995,FAM171B,F171B_HUMAN,Protein FAM171B,TRANSMEM 354 374 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6P9A2,GALNT18,GLT18_HUMAN,Polypeptide N-acetylgalactosaminyltransferase 18 (EC 2.4.1.41) (Polypeptide GalNAc transferase 18) (GalNAc-T18) (Polypeptide GalNAc transferase-like protein 4) (GalNAc-T-like protein 4) (pp-GaNTase-like protein 4) (Polypeptide N-acetylgalactosaminyltransferase-like protein 4) (Protein-UDP acetylgalactosaminyltransferase-like protein 4) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 4),TRANSMEM 13 35 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q6P9G4,TMEM154,TM154_HUMAN,Transmembrane protein 154,TRANSMEM 76 96 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6PCB7,SLC27A1,S27A1_HUMAN,Long-chain fatty acid transport protein 1 (FATP-1) (Fatty acid transport protein 1) (EC 6.2.1.-) (Solute carrier family 27 member 1),TRANSMEM 14 34 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6PCB8,EMB,EMB_HUMAN,Embigin,TRANSMEM 261 281 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6PEX7,TEX38,TEX38_HUMAN,Testis-expressed protein 38 (ATPAF1 antisense RNA 1) (ATPAF1 antisense gene protein 1),TRANSMEM 15 35 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6PHW0,IYD,IYD1_HUMAN,Iodotyrosine deiodinase 1 (IYD-1) (EC 1.21.1.1) (Iodotyrosine dehalogenase 1),TRANSMEM 215 235 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6PI73,LILRA6,LIRA6_HUMAN,Leukocyte immunoglobulin-like receptor subfamily A member 6 (Immunoglobulin-like transcript 8) (ILT-8) (Leukocyte Ig-like receptor),TRANSMEM 448 468 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6PIU2,NCEH1,NCEH1_HUMAN,Neutral cholesterol ester hydrolase 1 (NCEH) (EC 3.1.1.-) (Arylacetamide deacetylase-like 1),TRANSMEM 5 25 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q6PIZ9,TRAT1,TRAT1_HUMAN,T-cell receptor-associated transmembrane adapter 1 (T-cell receptor-interacting molecule) (TRIM) (pp29/30),TRANSMEM 8 28 Helical; Signal-anchor for type III membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q6PJG9,LRFN4,LRFN4_HUMAN,Leucine-rich repeat and fibronectin type-III domain-containing protein 4,TRANSMEM 519 539 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6PJW8,CNST,CNST_HUMAN,Consortin,TRANSMEM 665 685 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6PK18,OGFOD3,OGFD3_HUMAN,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3 (EC 1.14.11.-),TRANSMEM 43 65 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
Q6PKC3,TXNDC11,TXD11_HUMAN,Thioredoxin domain-containing protein 11 (EF-hand-binding protein 1),TRANSMEM 65 85 Helical. {ECO:0000255}.,1,+,+,NA,NA
Q6Q4G3,LVRN,AMPQ_HUMAN,Aminopeptidase Q (AP-Q) (APQ) (EC 3.4.11.-) (CHL2 antigen) (Laeverin),TRANSMEM 14 34 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
