Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides JEKO-KO1	Peptides JEKO-KO2	Peptides JEKO-KO3	Peptides JEKO-WT1	Peptides JEKO-WT2	Peptides JEKO-WT3	Razor + unique peptides JEKO-KO1	Razor + unique peptides JEKO-KO2	Razor + unique peptides JEKO-KO3	Razor + unique peptides JEKO-WT1	Razor + unique peptides JEKO-WT2	Razor + unique peptides JEKO-WT3	Unique peptides JEKO-KO1	Unique peptides JEKO-KO2	Unique peptides JEKO-KO3	Unique peptides JEKO-WT1	Unique peptides JEKO-WT2	Unique peptides JEKO-WT3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Identification type JEKO-KO1	Identification type JEKO-KO2	Identification type JEKO-KO3	Identification type JEKO-WT1	Identification type JEKO-WT2	Identification type JEKO-WT3	Sequence coverage JEKO-KO1 [%]	Sequence coverage JEKO-KO2 [%]	Sequence coverage JEKO-KO3 [%]	Sequence coverage JEKO-WT1 [%]	Sequence coverage JEKO-WT2 [%]	Sequence coverage JEKO-WT3 [%]	Intensity	Intensity JEKO-KO1	Intensity JEKO-KO2	Intensity JEKO-KO3	Intensity JEKO-WT1	Intensity JEKO-WT2	Intensity JEKO-WT3	iBAQ	iBAQ JEKO-KO1	iBAQ JEKO-KO2	iBAQ JEKO-KO3	iBAQ JEKO-WT1	iBAQ JEKO-WT2	iBAQ JEKO-WT3	LFQ intensity JEKO-KO1	LFQ intensity JEKO-KO2	LFQ intensity JEKO-KO3	LFQ intensity JEKO-WT1	LFQ intensity JEKO-WT2	LFQ intensity JEKO-WT3	MS/MS Count JEKO-KO1	MS/MS Count JEKO-KO2	MS/MS Count JEKO-KO3	MS/MS Count JEKO-WT1	MS/MS Count JEKO-WT2	MS/MS Count JEKO-WT3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|Q92859|NEO1_HUMAN	sp|Q92859|NEO1_HUMAN	22	22	22	>sp|Q92859|NEO1_HUMAN Neogenin OS=Homo sapiens GN=NEO1 PE=1 SV=2	1	22	22	22	18	20	17	16	19	22	18	20	17	16	19	22	18	20	17	16	19	22	22.2	22.2	22.2	160.01	1461	1461	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.8	20.1	18.1	16.2	19.9	22.2	117840000	17225000	24474000	13861000	11537000	18004000	32736000	1870400	273420	388480	220020	183120	285780	519620	19226000	17886000	15771000	10129000	15148000	22005000	13	20	9	5	11	22	80				2177	3292;3338;3966;6744;7547;7551;9670;10804;11436;12630;13348;13803;14513;16947;17819;18455;18727;18940;20965;21926;22649;22840	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	3389;3436;4079;6936;7763;7768;9932;11084;11726;12948;13729;14251;14997;17502;18398;19047;19330;19553;21634;22623;23368;23561	19969;19970;19971;19972;19973;19974;20254;20255;20256;20257;20258;20259;24160;24161;24162;24163;41188;41189;41190;41191;46159;46160;46161;46162;46163;46164;46165;46166;46167;46186;46187;46188;46189;46190;46191;59333;59334;59335;59336;59337;59338;66559;66560;66561;66562;66563;70463;70464;70465;70466;70467;70468;77859;77860;77861;77862;82339;82340;82341;85429;85430;85431;85432;85433;85434;90037;90038;90039;90040;90041;90042;105397;105398;105399;105400;105401;105402;110680;110681;110682;110683;110684;110685;114528;114529;114530;116164;116165;116166;116167;116168;117567;117568;117569;130060;130061;130062;130063;130064;130065;135953;135954;135955;135956;135957;135958;140504;140505;140506;141671;141672;141673;141674;141675;141676	19066;19371;23255;40034;40035;40036;44976;44977;44978;44979;44980;44981;44982;44983;45006;45007;45008;45009;58155;65132;65133;69024;69025;69026;69027;69028;76210;76211;76212;76213;80275;83203;83204;83205;83206;83207;83208;83209;83210;83211;83212;83213;83214;83215;87779;87780;87781;87782;87783;87784;87785;87786;87787;87788;102905;102906;102907;102908;102909;102910;102911;107921;107922;107923;107924;107925;107926;111801;113680;113681;113682;115179;128032;133727;133728;133729;138549;138550;138551;139844;139845	19066;19371;23255;40034;44979;45007;58155;65132;69024;76211;80275;83212;87785;102906;107925;111801;113681;115179;128032;133727;138549;139844	758	1043
sp|Q92878|RAD50_HUMAN	sp|Q92878|RAD50_HUMAN	38	38	38	>sp|Q92878|RAD50_HUMAN DNA repair protein RAD50 OS=Homo sapiens GN=RAD50 PE=1 SV=1	1	38	38	38	28	33	27	31	36	33	28	33	27	31	36	33	28	33	27	31	36	33	26.1	26.1	26.1	153.89	1312	1312	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	20.6	23.9	20.3	22.3	25.1	23.5	484420000	39677000	115760000	50790000	57047000	121660000	99475000	6635900	543520	1585800	695760	781470	1666600	1362700	52562000	90463000	68095000	49937000	68981000	66266000	14	37	24	18	28	24	145				2178	281;2778;3007;3310;3729;4372;4926;6813;7315;8771;10656;11398;11458;12160;12161;12180;12196;13535;13981;13983;14013;14505;15061;16033;16178;16523;18044;18430;18431;19026;19411;19598;19767;20066;20423;20626;22178;22633	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	284;2856;3093;3408;3837;4493;5072;7009;7522;9011;10934;11687;11748;12468;12469;12488;12504;13953;14433;14435;14465;14989;15562;16563;16711;17066;18627;19022;19023;19641;20040;20230;20402;20708;21073;21283;22880;23352	1569;1570;1571;16772;16773;16774;16775;16776;18257;18258;18259;18260;18261;18262;20107;20108;20109;20110;20111;20112;22698;22699;22700;22701;22702;22703;26632;26633;26634;26635;26636;26637;29985;29986;29987;29988;29989;29990;41599;41600;41601;41602;41603;41604;44693;44694;44695;44696;44697;44698;53832;53833;53834;53835;53836;53837;65715;65716;65717;65718;65719;65720;65721;65722;65723;65724;65725;65726;70220;70221;70222;70223;70224;70225;70590;70591;70592;70593;70594;70595;70596;70597;70598;70599;70600;74973;74974;74975;74976;74977;75083;75084;75085;75086;75087;75088;75168;75169;75170;75171;75172;75173;75174;75175;75176;83659;83660;86580;86581;86582;86587;86588;86589;86590;86591;86592;86768;86769;86770;89992;89993;89994;89995;93268;93269;93270;93271;99571;99572;99573;99574;99575;99576;99577;99578;99579;99580;99581;100532;100533;100534;100535;100536;100537;102745;102746;102747;102748;102749;102750;112007;112008;112009;112010;114388;114389;114390;114391;114392;114393;114394;114395;114396;114397;114398;118095;118096;118097;118098;118099;118100;120455;120456;120457;121568;122605;122606;122607;124502;124503;124504;124505;124506;124507;126710;126711;126712;126713;126714;126715;127962;127963;127964;127965;127966;127967;137496;137497;137498;137499;137500;140416;140417;140418;140419;140420;140421	1454;1455;16179;17593;17594;19250;19251;19252;19253;19254;19255;19256;19257;19258;19259;19260;21717;21718;21719;21720;21721;21722;21723;21724;21725;21726;25621;25622;25623;25624;25625;28956;40444;40445;40446;40447;43599;43600;52520;52521;52522;64378;64379;64380;64381;64382;64383;64384;64385;64386;64387;64388;64389;64390;64391;64392;64393;68769;68770;68771;68772;68773;68774;68775;69099;69100;69101;69102;69103;69104;69105;73477;73478;73553;73554;73620;73621;73622;73623;73624;73625;73626;81462;81463;84292;84293;84296;84297;84464;84465;87721;87722;87723;87724;90918;97103;97104;97105;97957;100095;100096;100097;109211;111700;111701;111702;111703;111704;115660;115661;115662;115663;115664;117965;117966;117967;117968;119082;120254;120255;120256;122384;122385;122386;124648;124649;124650;124651;124652;124653;125932;125933;125934;125935;125936;125937;125938;125939;125940;135210;135211;135212;135213;135214;135215;135216;135217;135218;138473	1454;16179;17593;19250;21724;25621;28956;40444;43599;52520;64393;68769;69103;73477;73478;73553;73621;81463;84293;84297;84464;87723;90918;97105;97957;100096;109211;111700;111701;115664;117966;119082;120254;122386;124652;125936;135216;138473		
sp|Q92888|ARHG1_HUMAN	sp|Q92888|ARHG1_HUMAN	13	13	13	>sp|Q92888|ARHG1_HUMAN Rho guanine nucleotide exchange factor 1 OS=Homo sapiens GN=ARHGEF1 PE=1 SV=2	1	13	13	13	7	10	10	12	13	13	7	10	10	12	13	13	7	10	10	12	13	13	15.8	15.8	15.8	102.43	912	912	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8	12.9	12.5	15	15.8	15.8	94206000	6503200	23704000	12670000	10696000	21983000	18649000	2093500	144520	526760	281560	237680	488510	414420	9234200	17458000	12955000	10192000	14924000	13305000	3	10	4	4	12	5	38				2179	365;562;2955;4466;5027;5054;9928;11674;12693;14833;15336;19180;21977	True;True;True;True;True;True;True;True;True;True;True;True;True	371;572;3039;4593;5176;5204;10199;11965;13013;15328;15843;19802;22676	2082;2083;2084;2085;3217;3218;3219;3220;3221;3222;3223;3224;3225;3226;3227;17940;17941;17942;17943;17944;27171;27172;27173;27174;27175;30576;30577;30578;30579;30736;30737;30738;30739;30740;30741;61105;61106;61107;61108;61109;61110;71918;71919;71920;71921;71922;78271;78272;78273;78274;91904;91905;91906;94899;94900;94901;94902;94903;94904;119026;119027;119028;119029;119030;119031;136272;136273;136274;136275;136276	1953;3134;3135;3136;3137;17311;26046;26047;29626;29627;29810;29811;29812;29813;59846;59847;59848;59849;59850;59851;59852;70392;70393;76620;89550;89551;89552;92517;92518;116573;116574;116575;116576;116577;116578;116579;116580;116581;116582;133942;133943	1953;3135;17311;26047;29626;29810;59848;70393;76620;89550;92518;116579;133942		
sp|Q92896|GSLG1_HUMAN	sp|Q92896|GSLG1_HUMAN	11	11	11	>sp|Q92896|GSLG1_HUMAN Golgi apparatus protein 1 OS=Homo sapiens GN=GLG1 PE=1 SV=2	1	11	11	11	10	9	9	11	9	10	10	9	9	11	9	10	10	9	9	11	9	10	7.1	7.1	7.1	134.55	1179	1179	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.7	6.7	6.7	7.1	6.1	6.7	142250000	29270000	19417000	16893000	34433000	20334000	21901000	2331900	479830	318310	276930	564480	333350	359030	30389000	14182000	16151000	37199000	13777000	17327000	8	5	3	11	1	4	32				2180	5119;8310;10652;11319;11578;14478;15096;15959;16139;19918;21503	True;True;True;True;True;True;True;True;True;True;True	5273;8542;10930;11605;11868;14959;15598;16482;16671;20560;22189	31151;31152;31153;31154;31155;31156;50983;50984;50985;50986;50987;50988;65693;65694;65695;65696;65697;69759;69760;69761;69762;69763;69764;71293;71294;71295;71296;71297;71298;89823;89824;89825;89826;89827;89828;93482;93483;93484;93485;99055;100267;100268;100269;100270;100271;100272;123594;123595;123596;123597;123598;123599;133399;133400;133401;133402;133403;133404	30294;30295;30296;49844;64371;68275;68276;68277;68278;68279;68280;68281;68282;69716;69717;87519;87520;87521;91142;91143;91144;96611;97724;97725;97726;97727;121335;121336;131118;131119;131120;131121;131122;131123;131124	30296;49844;64371;68278;69716;87520;91142;96611;97724;121335;131118		
sp|Q92900|RENT1_HUMAN	sp|Q92900|RENT1_HUMAN	13	13	13	>sp|Q92900|RENT1_HUMAN Regulator of nonsense transcripts 1 OS=Homo sapiens GN=UPF1 PE=1 SV=2	1	13	13	13	10	11	11	12	11	11	10	11	11	12	11	11	10	11	11	12	11	11	12.6	12.6	12.6	124.34	1129	1129	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.1	10.5	11	11.7	10.7	10.7	52503000	4994900	10697000	6057300	9003300	12659000	9091100	905220	86119	184440	104440	155230	218260	156740	7070000	7015500	6906700	7179700	8714600	7622100	5	7	3	6	7	4	32				2181	2159;3464;4624;4649;5489;6815;8573;11614;12859;12935;19791;21058;22318	True;True;True;True;True;True;True;True;True;True;True;True;True	2225;3566;4753;4781;5653;7011;8810;11905;13181;13259;20428;21729;23024	13100;13101;13102;13103;13104;13105;21110;21111;28072;28073;28234;28235;28236;28237;28238;28239;33475;33476;33477;33478;33479;41611;41612;41613;41614;41615;52616;52617;52618;52619;71537;71538;71539;71540;71541;71542;71543;71544;71545;71546;71547;79238;79239;79240;79241;79242;79243;79672;79673;79674;79675;79676;79677;122788;122789;122790;122791;122792;122793;130641;130642;130643;130644;130645;130646;138400;138401;138402;138403;138404;138405	12724;12725;12726;12727;20258;26893;26894;27073;27074;27075;27076;27077;27078;27079;27080;27081;32479;32480;32481;40451;51400;69969;69970;69971;69972;77531;77532;77533;77968;120435;120436;128568;128569;128570;128571;136278;136279;136280;136281;136282;136283	12725;20258;26893;27075;32480;40451;51400;69971;77531;77968;120436;128569;136281		
sp|Q92918|M4K1_HUMAN	sp|Q92918|M4K1_HUMAN	3	3	3	>sp|Q92918|M4K1_HUMAN Mitogen-activated protein kinase kinase kinase kinase 1 OS=Homo sapiens GN=MAP4K1 PE=1 SV=1	1	3	3	3	1	3	2	2	3	2	1	3	2	2	3	2	1	3	2	2	3	2	4.1	4.1	4.1	91.295	833	833	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	1.2	4.1	2.8	2.5	4.1	2.5	10342000	677380	3333700	1388900	1226100	2411900	1303400	258540	16934	83344	34723	30652	60298	32586	0	2061400	1564500	1397000	1577500	1204100	1	4	2	2	3	1	13				2182	5975;11104;12930	True;True;True	6153;11388;13254	36472;36473;36474;68378;68379;68380;68381;79637;79638;79639;79640;79641;79642	35372;66963;66964;77938;77939;77940;77941;77942;77943;77944;77945;77946;77947	35372;66963;77945		
sp|Q92922|SMRC1_HUMAN	sp|Q92922|SMRC1_HUMAN	8	4	4	>sp|Q92922|SMRC1_HUMAN SWI/SNF complex subunit SMARCC1 OS=Homo sapiens GN=SMARCC1 PE=1 SV=3	1	8	4	4	6	7	8	7	8	7	2	3	4	3	4	3	2	3	4	3	4	3	8.1	4.6	4.6	122.87	1105	1105	0	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.3	7.1	8.1	6.5	8.1	7	26039000	1337000	5208500	6947000	2488900	5744700	4313100	531410	27286	106300	141770	50794	117240	88023	2696600	4537300	4555900	2918400	3732700	3814500	0	3	2	1	4	3	13				2183	131;1198;4101;13885;17184;17733;19377;20275	True;False;True;False;False;True;False;True	133;1227;4215;14333;17744;18311;20006;20923	723;724;725;726;727;7187;7188;7189;7190;7191;7192;24971;24972;24973;24974;85913;85914;85915;85916;85917;85918;106825;106826;106827;106828;106829;106830;106831;110105;110106;110107;110108;110109;110110;120235;120236;120237;120238;120239;120240;125782;125783;125784;125785;125786	643;644;645;646;6867;6868;6869;23949;23950;23951;83628;83629;83630;104199;104200;104201;104202;104203;104204;104205;104206;104207;107356;107357;117766;117767;117768;123707;123708;123709;123710	643;6869;23950;83629;104203;107357;117767;123709		
sp|Q92925|SMRD2_HUMAN;sp|Q6STE5|SMRD3_HUMAN	sp|Q92925|SMRD2_HUMAN	12;1	12;1	12;1	>sp|Q92925|SMRD2_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 OS=Homo sapiens GN=SMARCD2 PE=1 SV=3	2	12	12	12	9	10	11	9	12	10	9	10	11	9	12	10	9	10	11	9	12	10	26.6	26.6	26.6	58.92	531	531;483	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	22	23.4	25	22	26.6	22.6	80609000	5165900	17999000	15314000	10628000	18685000	12818000	2519000	161430	562460	478560	332120	583910	400560	6460600	13955000	13548000	10441000	13412000	10433000	5	13	9	5	12	7	51				2184	95;487;8542;8695;9571;10662;11625;13464;15956;16008;16082;20031	True;True;True;True;True;True;True;True;True;True;True;True	97;495;8778;8934;9833;10940;11916;13874;16479;16536;16614;20673	530;531;532;533;534;535;2785;2786;2787;2788;2789;2790;52406;52407;52408;52409;52410;52411;52412;52413;52414;53321;53322;53323;53324;53325;53326;58720;58721;58722;58723;58724;58725;65754;65755;71607;71608;71609;71610;71611;71612;83204;83205;83206;83207;83208;83209;99027;99028;99029;99030;99031;99032;99403;99404;99919;99920;99921;99922;99923;99924;124233;124234;124235;124236	454;455;456;457;458;459;2737;2738;2739;2740;2741;2742;2743;2744;51222;51223;51224;51225;51226;51227;52075;52076;52077;52078;52079;52080;57694;57695;57696;57697;57698;57699;64411;70054;70055;81033;81034;81035;81036;81037;81038;81039;96584;96585;96586;96923;96924;97414;97415;121933;121934;121935	454;2738;51225;52080;57696;64411;70054;81037;96585;96924;97414;121934		
sp|Q92945|FUBP2_HUMAN;sp|Q96I24|FUBP3_HUMAN	sp|Q92945|FUBP2_HUMAN	15;1	15;1	13;0	>sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens GN=KHSRP PE=1 SV=4	2	15	15	13	14	14	13	14	15	15	14	14	13	14	15	15	13	13	13	12	13	13	29	29	25.7	73.114	711	711;572	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	27	27.7	25.7	27.7	29	29	159540000	24325000	21016000	22680000	40487000	26927000	24101000	4558200	695000	600470	647990	1156800	769340	688610	29002000	14981000	23567000	34661000	18975000	19604000	18	13	19	20	14	14	98				2185	2095;2305;6317;7056;7915;8466;8506;8656;9998;10469;13316;13407;16145;18238;21295	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2158;2374;6499;7257;8142;8700;8740;8894;10270;10745;13689;13690;13799;16677;18824;21978	12703;12704;12705;12706;13910;13911;13912;13913;13914;38518;38519;38520;38521;38522;38523;43091;43092;43093;43094;43095;43096;48558;48559;48560;48561;48562;48563;51926;51927;51928;51929;51930;51931;52144;52145;52146;52147;52148;52149;52150;52151;53096;53097;53098;53099;53100;53101;61590;61591;61592;61593;64582;64583;64584;64585;64586;64587;82095;82096;82097;82098;82099;82100;82101;82102;82103;82104;82105;82755;82756;82757;82758;82759;82760;100313;100314;100315;100316;100317;100318;113207;113208;113209;113210;113211;113212;132124;132125;132126;132127;132128;132129	12312;13413;13414;13415;13416;13417;37358;37359;37360;37361;37362;37363;37364;37365;41952;41953;41954;41955;41956;41957;47476;47477;47478;47479;47480;47481;47482;47483;47484;50714;50715;50716;50717;50718;50719;50720;50721;50943;50944;50945;50946;50947;50948;50949;50950;50951;50952;50953;50954;51871;51872;60241;63136;63137;63138;63139;63140;63141;63142;63143;63144;80043;80044;80045;80046;80047;80048;80049;80050;80051;80052;80635;80636;80637;97780;97781;97782;97783;110455;110456;110457;110458;110459;110460;110461;110462;110463;110464;110465;110466;110467;110468;110469;110470;129913;129914;129915;129916	12312;13414;37358;41953;47479;50714;50951;51871;60241;63137;80046;80636;97783;110456;129913	759	267
sp|Q92947|GCDH_HUMAN	sp|Q92947|GCDH_HUMAN	10	10	10	>sp|Q92947|GCDH_HUMAN Glutaryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=GCDH PE=1 SV=1	1	10	10	10	8	10	10	9	10	9	8	10	10	9	10	9	8	10	10	9	10	9	26.5	26.5	26.5	48.127	438	438	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.7	26.5	26.5	24.9	26.5	24.9	940710000	385860000	30668000	309720000	18387000	174880000	21201000	47036000	19293000	1533400	15486000	919330	8743800	1060100	156790000	156100000	166110000	145990000	160920000	129820000	6	8	6	7	7	6	40				2186	182;183;973;2957;4028;7391;8824;13477;18336;22471	True;True;True;True;True;True;True;True;True;True	185;186;997;3041;4141;7600;7601;9064;13890;18926;23180	1025;1026;1027;1028;1029;1030;1031;1032;1033;1034;1035;1036;5805;5806;5807;5808;5809;17950;17951;17952;17953;17954;17955;24514;24515;24516;24517;24518;24519;45160;45161;45162;45163;45164;45165;45166;45167;45168;45169;45170;45171;54144;54145;54146;54147;54148;54149;83285;83286;83287;83288;83289;113833;113834;113835;113836;113837;113838;139382;139383;139384;139385	908;909;910;911;912;913;914;915;5628;5629;5630;5631;5632;17317;17318;17319;17320;17321;17322;23549;23550;23551;23552;44083;44084;44085;44086;44087;44088;44089;52913;52914;52915;81127;81128;81129;81130;81131;111163;137329;137330;137331;137332;137333	911;915;5628;17320;23549;44088;52913;81130;111163;137332	760	405
sp|Q92973|TNPO1_HUMAN	sp|Q92973|TNPO1_HUMAN	13	13	11	>sp|Q92973|TNPO1_HUMAN Transportin-1 OS=Homo sapiens GN=TNPO1 PE=1 SV=2	1	13	13	11	10	12	10	11	13	12	10	12	10	11	13	12	8	10	8	9	11	10	19.8	19.8	17.6	102.35	898	898	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	15.1	18.8	14.5	15.5	19.8	18.3	108090000	11018000	29525000	13282000	11927000	22734000	19603000	2636300	268720	720110	323950	290890	554490	478120	12860000	20708000	13969000	11308000	15612000	15546000	6	14	5	8	10	9	52				2187	833;4648;6103;8140;10849;11396;14434;15360;16622;16996;17150;17377;19102	True;True;True;True;True;True;True;True;True;True;True;True;True	852;4780;6283;8371;11129;11685;14914;15867;17170;17553;17709;17942;19721	4902;4903;4904;4905;4906;28228;28229;28230;28231;28232;28233;37202;37203;37204;37205;37206;37207;50034;50035;50036;66828;66829;66830;66831;66832;66833;70208;70209;70210;70211;70212;70213;89563;89564;89565;95053;95054;95055;95056;95057;95058;103381;103382;103383;103384;103385;105695;105696;105697;105698;105699;106593;106594;106595;106596;106597;107966;107967;107968;107969;107970;107971;107972;118541;118542;118543;118544;118545;118546	4682;4683;4684;27061;27062;27063;27064;27065;27066;27067;27068;27069;27070;27071;27072;35998;35999;36000;36001;36002;36003;36004;36005;36006;36007;48929;65554;68763;68764;68765;68766;87311;87312;87313;92671;100800;103218;103219;103996;105271;105272;105273;105274;105275;105276;105277;116157;116158;116159;116160;116161;116162	4682;27062;36000;48929;65554;68763;87312;92671;100800;103219;103996;105274;116160		
sp|Q92974|ARHG2_HUMAN;REV__sp|P0DJD0|RGPD1_HUMAN;REV__sp|P0DJD1|RGPD2_HUMAN;REV__sp|A6NKT7|RGPD3_HUMAN;REV__sp|Q99666|RGPD5_HUMAN;REV__sp|O14715|RGPD8_HUMAN	sp|Q92974|ARHG2_HUMAN	45;1;1;1;1;1	45;1;1;1;1;1	45;1;1;1;1;1	>sp|Q92974|ARHG2_HUMAN Rho guanine nucleotide exchange factor 2 OS=Homo sapiens GN=ARHGEF2 PE=1 SV=4	6	45	45	45	40	44	42	36	42	40	40	44	42	36	42	40	40	44	42	36	42	40	51.1	51.1	51.1	111.54	986	986;1748;1756;1758;1765;1765	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	48	50.4	48.1	42	50	47	845310000	74954000	214890000	124240000	73839000	196160000	161230000	15369000	1362800	3907000	2258900	1342500	3566500	2931400	89447000	146790000	121150000	84564000	135520000	124610000	22	50	33	25	47	40	217				2188	686;1288;1612;1613;2862;3477;4265;4459;4568;5456;5535;6739;6740;7111;8870;8871;8889;9368;11056;11714;12120;12135;13469;13470;13859;13860;14331;14947;15039;15040;15716;15805;15850;16140;16723;17343;17634;17924;18244;18245;18703;19858;20511;20710;22366	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	703;1318;1658;1659;2943;3579;4383;4586;4697;5617;5702;6931;6932;7316;9115;9116;9134;9627;11337;12006;12426;12443;13879;13880;14307;14308;14809;15444;15540;15541;16233;16324;16370;16672;17274;17908;18208;18506;18830;18831;19305;20498;21163;21370;23073	3970;3971;3972;3973;3974;3975;3976;7750;7751;7752;7753;7754;7755;9725;9726;9727;9728;9729;9730;9731;9732;9733;9734;9735;17332;17333;17334;17335;17336;17337;21176;21177;21178;21179;21180;21181;25956;25957;25958;25959;25960;25961;27121;27122;27123;27124;27125;27126;27760;27761;27762;27763;27764;33283;33284;33285;33286;33287;33288;33768;33769;33770;33771;33772;33773;41158;41159;41160;41161;41162;41163;41164;41165;41166;41167;41168;41169;41170;41171;41172;41173;41174;43452;43453;54452;54453;54454;54455;54456;54457;54458;54459;54460;54546;54547;54548;54549;54550;57494;57495;57496;57497;57498;57499;68045;68046;68047;68048;68049;72191;72192;72193;72194;72195;72196;74732;74733;74814;74815;74816;74817;74818;74819;74820;83231;83232;83233;83234;83235;83236;83237;83238;83239;83240;83241;83242;85743;85744;85745;85746;85747;85748;85749;85750;85751;85752;85753;85754;88928;88929;88930;88931;88932;88933;92538;92539;92540;92541;92542;92543;93155;93156;93157;93158;93159;93160;93161;93162;93163;93164;93165;97372;97373;97374;97375;97376;97377;97997;97998;97999;98000;98001;98002;98334;98335;98336;100273;100274;100275;100276;100277;100278;104043;104044;104045;104046;104047;104048;104049;104050;104051;104052;104053;107789;107790;107791;107792;107793;107794;109524;109525;109526;109527;109528;109529;109530;109531;111336;111337;111338;111339;111340;113245;113246;113247;113248;113249;113250;113251;113252;113253;113254;113255;116020;116021;116022;116023;116024;116025;123194;123195;123196;123197;123198;127230;127231;127232;127233;127234;127235;128504;128505;128506;128507;128508;128509;138705;138706;138707;138708;138709;138710	3786;3787;3788;3789;3790;3791;3792;3793;3794;3795;7385;7386;7387;7388;7389;7390;7391;7392;9303;9304;9305;9306;16791;16792;16793;16794;16795;16796;20286;20287;20288;24951;24952;24953;24954;26019;26620;26621;26622;26623;26624;26625;26626;32313;32314;32315;32316;32317;32318;32319;32320;32321;32772;32773;40009;40010;40011;40012;40013;40014;40015;40016;40017;40018;40019;40020;42341;42342;53146;53147;53148;53246;53247;53248;56505;56506;56507;56508;56509;56510;56511;66663;70678;70679;70680;70681;70682;70683;70684;70685;70686;70687;70688;70689;70690;70691;70692;70693;73208;73292;73293;73294;73295;73296;73297;73298;73299;73300;73301;73302;73303;73304;73305;73306;73307;73308;81051;81052;81053;81054;81055;81056;81057;81058;81059;81060;81061;81062;81063;83485;83486;83487;83488;86640;86641;86642;86643;86644;86645;86646;86647;86648;86649;90179;90180;90181;90838;90839;90840;90841;90842;90843;95100;95101;95102;95103;95104;95105;95106;95571;95572;95848;95849;97728;97729;97730;97731;101501;101502;101503;101504;101505;101506;101507;101508;101509;101510;105153;105154;106728;106729;106730;106731;106732;106733;106734;106735;106736;106737;106738;106739;106740;106741;108560;110491;110492;110493;110494;110495;110496;110497;110498;110499;113557;113558;113559;113560;113561;113562;120822;120823;125246;125247;125248;126495;136603;136604;136605;136606;136607	3792;7386;9303;9306;16792;20287;24951;26019;26621;32318;32773;40012;40017;42342;53146;53147;53248;56506;66663;70690;73208;73298;81056;81062;83485;83488;86642;90179;90838;90841;95106;95571;95848;97730;101508;105154;106731;108560;110492;110497;113559;120823;125246;126495;136606	761	180
sp|Q92989|CLP1_HUMAN	sp|Q92989|CLP1_HUMAN	3	3	3	>sp|Q92989|CLP1_HUMAN Polyribonucleotide 5-hydroxyl-kinase Clp1 OS=Homo sapiens GN=CLP1 PE=1 SV=1	1	3	3	3	1	3	2	1	2	2	1	3	2	1	2	2	1	3	2	1	2	2	6.4	6.4	6.4	47.645	425	425	0.00123	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	1.9	6.4	4.5	1.9	4.5	4.5	4329000	220590	1182200	725760	202310	1179900	818310	216450	11030	59109	36288	10115	58993	40916	0	0	0	0	0	623900	0	2	1	0	1	1	5				2189	10306;11666;21117	True;True;True	10582;11957;21794	63637;71860;71861;71862;71863;71864;71865;131014;131015;131016;131017	62235;70275;128868;128869;128870;128871	62235;70275;128870		
