Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides JURKAT-KO1	Peptides JURKAT-KO2	Peptides JURKAT-KO3	Peptides JURKAT-WT1	Peptides JURKAT-WT2	Peptides JURKAT-WT3	Razor + unique peptides JURKAT-KO1	Razor + unique peptides JURKAT-KO2	Razor + unique peptides JURKAT-KO3	Razor + unique peptides JURKAT-WT1	Razor + unique peptides JURKAT-WT2	Razor + unique peptides JURKAT-WT3	Unique peptides JURKAT-KO1	Unique peptides JURKAT-KO2	Unique peptides JURKAT-KO3	Unique peptides JURKAT-WT1	Unique peptides JURKAT-WT2	Unique peptides JURKAT-WT3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Identification type JURKAT-KO1	Identification type JURKAT-KO2	Identification type JURKAT-KO3	Identification type JURKAT-WT1	Identification type JURKAT-WT2	Identification type JURKAT-WT3	Sequence coverage JURKAT-KO1 [%]	Sequence coverage JURKAT-KO2 [%]	Sequence coverage JURKAT-KO3 [%]	Sequence coverage JURKAT-WT1 [%]	Sequence coverage JURKAT-WT2 [%]	Sequence coverage JURKAT-WT3 [%]	Intensity	Intensity JURKAT-KO1	Intensity JURKAT-KO2	Intensity JURKAT-KO3	Intensity JURKAT-WT1	Intensity JURKAT-WT2	Intensity JURKAT-WT3	iBAQ	iBAQ JURKAT-KO1	iBAQ JURKAT-KO2	iBAQ JURKAT-KO3	iBAQ JURKAT-WT1	iBAQ JURKAT-WT2	iBAQ JURKAT-WT3	LFQ intensity JURKAT-KO1	LFQ intensity JURKAT-KO2	LFQ intensity JURKAT-KO3	LFQ intensity JURKAT-WT1	LFQ intensity JURKAT-WT2	LFQ intensity JURKAT-WT3	MS/MS Count JURKAT-KO1	MS/MS Count JURKAT-KO2	MS/MS Count JURKAT-KO3	MS/MS Count JURKAT-WT1	MS/MS Count JURKAT-WT2	MS/MS Count JURKAT-WT3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|Q08334|I10R2_HUMAN	sp|Q08334|I10R2_HUMAN	1	1	1	>sp|Q08334|I10R2_HUMAN Interleukin-10 receptor subunit beta OS=Homo sapiens GN=IL10RB PE=1 SV=2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.7	3.7	3.7	36.995	325	325	0.0015823	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.7	3.7	3.7	3.7	3.7	3.7	9726100	1012200	1520800	2336800	895780	1998100	1962400	694720	72299	108630	166920	63984	142720	140170	0	0	0	0	0	2780200	2	2	2	2	2	2	12				1170	7175	True	7265	45303;45304;45305;45306;45307;45308	47054;47055;47056;47057;47058;47059;47060;47061;47062;47063;47064;47065	47061		
sp|Q08357|S20A2_HUMAN	sp|Q08357|S20A2_HUMAN	7	7	7	>sp|Q08357|S20A2_HUMAN Sodium-dependent phosphate transporter 2 OS=Homo sapiens GN=SLC20A2 PE=1 SV=1	1	7	7	7	5	7	7	6	7	7	5	7	7	6	7	7	5	7	7	6	7	7	17.2	17.2	17.2	70.392	652	652	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.7	17.2	17.2	13.7	17.2	17.2	287230000	13420000	68291000	64300000	17310000	77044000	46862000	14361000	671000	3414500	3215000	865480	3852200	2343100	19933000	78400000	61301000	20523000	88724000	66042000	4	11	11	5	16	13	60				1171	807;4762;5884;7332;9689;11924;11925	True;True;True;True;True;True;True	815;4820;5960;7424;9865;12132;12133	4963;4964;4965;4966;4967;4968;29943;29944;29945;29946;29947;29948;29949;29950;29951;29952;29953;29954;29955;29956;29957;29958;37266;37267;37268;37269;46278;46279;46280;46281;46282;46283;61183;61184;61185;61186;61187;61188;61189;61190;61191;61192;75140;75141;75142;75143;75144;75145;75146;75147;75148;75149;75150	5148;5149;5150;5151;5152;5153;30989;30990;30991;30992;30993;30994;30995;30996;30997;30998;30999;31000;31001;31002;31003;31004;31005;38696;38697;38698;38699;47900;47901;47902;47903;47904;47905;47906;47907;47908;47909;47910;47911;47912;47913;47914;62779;62780;62781;62782;62783;62784;62785;62786;62787;62788;62789;62790;62791;77542;77543;77544;77545;77546	5150;31003;38696;47904;62781;77542;77546		
sp|Q08380|LG3BP_HUMAN	sp|Q08380|LG3BP_HUMAN	5	5	5	>sp|Q08380|LG3BP_HUMAN Galectin-3-binding protein OS=Homo sapiens GN=LGALS3BP PE=1 SV=1	1	5	5	5	4	2	4	4	3	3	4	2	4	4	3	3	4	2	4	4	3	3	10.4	10.4	10.4	65.33	585	585	0	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	9.1	5.1	8.5	9.1	7.2	7.2	67850000	10595000	1602900	10682000	25096000	10123000	9750300	2609600	407510	61651	410850	965230	389360	375010	11936000	6191800	8236800	28469000	10361000	11226000	4	0	3	7	3	3	20				1172	1014;5785;5883;9119;10601	True;True;True;True;True	1026;5859;5959;9282;10791	6214;6215;6216;6217;6218;6219;6220;6221;6222;6223;36679;36680;37265;57631;57632;57633;57634;57635;57636;66841;66842;66843;66844;66845;66846	6412;6413;6414;6415;6416;6417;6418;6419;6420;6421;6422;6423;38137;38695;59082;59083;59084;59085;59086;68781	6414;38137;38695;59083;68781		
sp|Q08431|MFGM_HUMAN	sp|Q08431|MFGM_HUMAN	7	7	7	>sp|Q08431|MFGM_HUMAN Lactadherin OS=Homo sapiens GN=MFGE8 PE=1 SV=2	1	7	7	7	6	6	5	5	6	6	6	6	5	5	6	6	6	6	5	5	6	6	22.2	22.2	22.2	43.122	387	387	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19.9	19.9	17.3	17.3	19.1	19.9	213310000	32084000	32318000	34973000	47517000	35748000	30674000	8888000	1336800	1346600	1457200	1979900	1489500	1278100	35167000	38361000	37254000	53251000	43656000	37526000	5	6	5	9	6	5	36				1173	2623;5888;7655;7746;7913;8389;11179	True;True;True;True;True;True;True	2658;5964;7791;7883;8055;8541;11381	16470;16471;16472;16473;16474;16475;37288;37289;37290;37291;37292;37293;37294;48322;48323;48324;48325;48326;48327;48328;48329;48330;48877;48878;48879;48880;48881;49964;49965;49966;49967;52814;70533;70534;70535;70536;70537;70538	16778;16779;16780;16781;16782;16783;16784;16785;16786;16787;16788;16789;16790;16791;38720;38721;38722;38723;49848;49849;49850;49851;49852;49853;49854;49855;49856;49857;50405;50406;50407;50408;50409;51431;54131;72736	16779;38722;49853;50408;51431;54131;72736		
sp|Q08722|CD47_HUMAN	sp|Q08722|CD47_HUMAN	8	8	8	>sp|Q08722|CD47_HUMAN Leukocyte surface antigen CD47 OS=Homo sapiens GN=CD47 PE=1 SV=1	1	8	8	8	7	8	8	8	8	8	7	8	8	8	8	8	7	8	8	8	8	8	17	17	17	35.213	323	323	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	17	17	17	17	17	17	13986000000	1413600000	2496800000	2973200000	2135700000	2339000000	2627200000	1398600000	141360000	249680000	297320000	213570000	233900000	262720000	1464200000	2967700000	3191400000	1812100000	2944400000	3807900000	17	29	23	37	32	24	162				1174	1175;1176;2145;3162;4637;5440;9982;10499	True;True;True;True;True;True;True;True	1189;1190;2174;3205;4695;5511;10162;10686	7142;7143;7144;7145;7146;7147;7148;7149;7150;7151;7152;7153;7154;7155;7156;7157;7158;7159;13430;13431;13432;13433;13434;13435;19812;19813;19814;19815;19816;19817;19818;19819;19820;19821;29179;29180;29181;29182;29183;29184;34166;34167;34168;34169;34170;34171;34172;34173;34174;34175;63074;63075;63076;63077;63078;63079;63080;63081;66214;66215;66216;66217;66218;66219	7336;7337;7338;7339;7340;7341;7342;7343;7344;7345;7346;7347;7348;7349;7350;7351;7352;7353;7354;7355;7356;7357;7358;7359;7360;7361;7362;7363;7364;7365;7366;7367;7368;7369;7370;7371;7372;7373;7374;7375;7376;7377;7378;7379;7380;7381;13722;13723;13724;13725;13726;13727;13728;13729;13730;13731;13732;13733;13734;13735;13736;13737;13738;13739;13740;20207;20208;20209;20210;20211;20212;20213;20214;20215;20216;20217;20218;20219;20220;20221;20222;20223;20224;20225;20226;20227;20228;20229;20230;20231;20232;20233;20234;20235;20236;20237;20238;20239;20240;20241;20242;20243;20244;20245;20246;20247;20248;20249;30120;30121;30122;30123;30124;30125;30126;30127;30128;35572;35573;35574;35575;35576;35577;64851;64852;64853;64854;64855;64856;64857;64858;64859;64860;64861;64862;64863;64864;64865;64866;64867;64868;64869;64870;64871;64872;64873;64874;64875;64876;64877;64878;64879;64880;64881;64882;64883;64884;64885;64886;64887;64888;68130	7341;7360;13726;20246;30124;35577;64866;68130		
sp|Q08881|ITK_HUMAN	sp|Q08881|ITK_HUMAN	12	12	12	>sp|Q08881|ITK_HUMAN Tyrosine-protein kinase ITK/TSK OS=Homo sapiens GN=ITK PE=1 SV=1	1	12	12	12	12	12	12	11	11	11	12	12	12	11	11	11	12	12	12	11	11	11	21.9	21.9	21.9	71.83	620	620	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.9	21.9	21.9	20.5	20.5	20.5	178360000	24894000	27464000	42777000	35919000	22906000	24405000	5246000	732180	807770	1258100	1056400	673720	717790	35736000	31767000	39150000	34071000	26476000	35047000	8	8	12	10	7	7	52				1175	883;1257;2468;3181;5899;6645;7056;7666;7778;8015;9644;10136	True;True;True;True;True;True;True;True;True;True;True;True	892;1273;2501;3224;5975;6725;7145;7802;7916;8160;9819;10317	5425;5426;5427;5428;5429;5430;7648;7649;7650;7651;7652;7653;15455;15456;15457;15458;15459;15460;19936;19937;19938;19939;19940;19941;37369;37370;37371;37372;37373;37374;41958;41959;41960;41961;41962;41963;41964;44575;44576;44577;48388;48389;48390;48391;48392;48393;49089;49090;49091;49092;49093;49094;50585;50586;50587;50588;50589;50590;60881;60882;60883;60884;60885;60886;64001;64002;64003;64004;64005;64006	5603;5604;5605;7920;7921;7922;7923;7924;7925;7926;7927;7928;7929;7930;15710;15711;20340;20341;20342;20343;20344;20345;38842;38843;38844;38845;38846;43570;43571;43572;43573;43574;43575;43576;46219;46220;49909;49910;49911;50622;50623;52086;52087;62470;62471;62472;62473;62474;62475;65748;65749;65750;65751;65752;65753;65754	5604;7929;15710;20341;38844;43571;46219;49910;50623;52086;62470;65748		
sp|Q08945|SSRP1_HUMAN	sp|Q08945|SSRP1_HUMAN	10	10	10	>sp|Q08945|SSRP1_HUMAN FACT complex subunit SSRP1 OS=Homo sapiens GN=SSRP1 PE=1 SV=1	1	10	10	10	10	9	7	10	9	8	10	9	7	10	9	8	10	9	7	10	9	8	18.1	18.1	18.1	81.074	709	709	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.1	17.9	13	18.1	17.9	15.9	129620000	36266000	15995000	16831000	32039000	13838000	14655000	4320800	1208900	533180	561020	1068000	461250	488500	40238000	18376000	18975000	32649000	18082000	21809000	10	4	3	9	4	5	35				1176	336;1051;2136;2739;3234;5296;5409;9113;9114;11130	True;True;True;True;True;True;True;True;True;True	338;1064;2164;2775;3278;5365;5480;9276;9277;11332	1974;1975;1976;1977;1978;1979;6440;6441;6442;6443;6444;6445;13382;13383;13384;13385;17147;17148;17149;17150;17151;17152;20273;20274;20275;20276;20277;20278;33325;33326;33327;33328;33329;33997;33998;33999;34000;34001;34002;57594;57595;57596;57597;57598;57599;57600;57601;57602;57603;57604;57605;57606;57607;70200;70201;70202;70203;70204;70205	2199;2200;2201;2202;2203;2204;6601;6602;6603;13679;13680;13681;13682;17428;20643;34744;35418;35419;35420;59037;59038;59039;59040;59041;59042;59043;59044;59045;59046;59047;59048;59049;59050;72249;72250	2199;6602;13680;17428;20643;34744;35418;59038;59049;72250		
sp|Q08J23|NSUN2_HUMAN	sp|Q08J23|NSUN2_HUMAN	16	16	16	>sp|Q08J23|NSUN2_HUMAN tRNA (cytosine(34)-C(5))-methyltransferase OS=Homo sapiens GN=NSUN2 PE=1 SV=2	1	16	16	16	15	16	15	15	14	15	15	16	15	15	14	15	15	16	15	15	14	15	28.8	28.8	28.8	86.47	767	767	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	27.4	28.8	27.6	28.2	26.1	27.6	260570000	41449000	43549000	57434000	55315000	32111000	30711000	5922000	942020	989740	1305300	1257200	729800	697970	52242000	45517000	55951000	49275000	47723000	44780000	17	17	18	20	14	13	99				1177	2024;2222;2291;2519;2895;3254;4944;5510;6129;6170;6984;7150;8024;8233;8778;9176	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2052;2251;2321;2553;2934;3298;5005;5583;6206;6247;7072;7240;8169;8383;8937;9340	12617;12618;12619;12620;12621;12622;13940;13941;13942;13943;13944;13945;14342;14343;14344;14345;15791;15792;15793;15794;15795;15796;18100;18101;18102;18103;18104;18105;20405;20406;20407;20408;20409;31128;31129;31130;31131;31132;31133;34719;34720;34721;34722;34723;34724;38759;38760;38761;38762;38763;38764;39008;39009;39010;39011;39012;44072;44073;44074;44075;44076;44077;45138;45139;45140;45141;45142;45143;50623;50624;50625;50626;50627;50628;51870;51871;51872;51873;55343;55344;55345;55346;55347;55348;58027;58028;58029;58030;58031;58032	12851;12852;12853;14280;14641;14642;14643;14644;14645;16050;16051;16052;16053;16054;16055;16056;16057;16058;16059;18400;18401;18402;18403;20773;20774;20775;20776;20777;20778;20779;20780;20781;20782;20783;32260;32261;32262;32263;32264;32265;36190;36191;36192;36193;36194;36195;36196;36197;36198;36199;40407;40408;40409;40597;45736;45737;45738;45739;45740;45741;45742;45743;45744;45745;45746;45747;45748;45749;46816;46817;46818;46819;46820;46821;46822;46823;52101;52102;52103;52104;52105;52106;53317;53318;53319;53320;53321;53322;56675;56676;56677;56678;56679;59509;59510;59511;59512;59513;59514	12851;14280;14645;16052;18401;20780;32260;36195;40408;40597;45748;46819;52102;53317;56679;59509		
sp|Q09028|RBBP4_HUMAN	sp|Q09028|RBBP4_HUMAN	4	4	3	>sp|Q09028|RBBP4_HUMAN Histone-binding protein RBBP4 OS=Homo sapiens GN=RBBP4 PE=1 SV=3	1	4	4	3	4	4	3	4	4	3	4	4	3	4	4	3	3	3	3	3	3	2	7.8	7.8	6.1	47.655	425	425	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.8	7.8	6.1	7.8	7.8	4.9	59216000	8099500	13093000	7492100	13097000	9130500	8303900	4229700	578530	935210	535150	935520	652180	593140	11132000	11795000	10704000	12841000	10859000	10510000	5	5	3	6	3	1	23				1178	207;1918;3380;11589	True;True;True;True	208;1943;3424;11793	1174;1175;1176;1177;1178;1179;11954;11955;11956;11957;11958;11959;21143;21144;21145;21146;21147;21148;21149;73112;73113;73114;73115;73116;73117;73118	1243;1244;1245;1246;1247;1248;1249;1250;12144;12145;12146;21521;21522;21523;21524;21525;21526;21527;21528;75567;75568;75569;75570;75571;75572;75573	1248;12145;21527;75567		
sp|Q0VDF9|HSP7E_HUMAN	sp|Q0VDF9|HSP7E_HUMAN	1	1	1	>sp|Q0VDF9|HSP7E_HUMAN Heat shock 70 kDa protein 14 OS=Homo sapiens GN=HSPA14 PE=1 SV=1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	4.3	4.3	4.3	54.794	509	509	0.0046707	By MS/MS	By matching	By matching	By matching	By matching	By matching	4.3	4.3	0	0	0	4.3	950900	536540	233160	0	0	0	181200	35219	19872	8635.7	0	0	0	6711	0	0	0	0	0	256710	1	0	0	0	0	0	1				1179	6455	True	6535	40763;40764;40765	42350	42350		
sp|Q0VG06|FP100_HUMAN	sp|Q0VG06|FP100_HUMAN	2	2	2	>sp|Q0VG06|FP100_HUMAN Fanconi anemia core complex-associated protein 100 OS=Homo sapiens GN=FAAP100 PE=1 SV=3	1	2	2	2	2	2	1	0	0	2	2	2	1	0	0	2	2	2	1	0	0	2	2.2	2.2	2.2	93.432	881	881	0.00055127	By MS/MS	By matching	By matching	By matching	By matching	By MS/MS	2.2	2.2	0.8	0	0	2.2	19232000	11616000	2762300	1793200	0	0	3060800	519780	313930	74658	48464	0	0	82724	14897000	3377100	0	0	0	3950700	2	0	0	0	0	1	3				1180	2340;12005	True;True	2370;12214	14628;14629;14630;75662;75663;75664;75665	14907;14908;78123	14907;78123		
sp|Q10469|MGAT2_HUMAN	sp|Q10469|MGAT2_HUMAN	1	1	1	>sp|Q10469|MGAT2_HUMAN Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase OS=Homo sapiens GN=MGAT2 PE=1 SV=1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.4	3.4	3.4	51.55	447	447	0.0015568	By matching	By matching	By matching	By MS/MS	By matching	By matching	3.4	3.4	3.4	3.4	3.4	3.4	6442500	1197700	893030	1146200	1640600	897470	667450	306790	57035	42525	54582	78126	42737	31783	0	0	0	0	0	945600	0	0	0	1	0	0	1				1181	7697	True	7833	48570;48571;48572;48573;48574;48575	50119	50119		
sp|Q10471|GALT2_HUMAN	sp|Q10471|GALT2_HUMAN	6	6	6	>sp|Q10471|GALT2_HUMAN Polypeptide N-acetylgalactosaminyltransferase 2 OS=Homo sapiens GN=GALNT2 PE=1 SV=1	1	6	6	6	6	6	6	6	5	5	6	6	6	6	5	5	6	6	6	6	5	5	12.6	12.6	12.6	64.732	571	571	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12.6	12.6	12.6	12.6	11.2	11.2	233150000	17149000	21672000	35922000	81446000	41767000	35199000	7521100	553190	699090	1158800	2627300	1347300	1135400	40895000	36453000	34758000	70314000	41668000	39294000	5	5	5	9	7	5	36				1182	2220;3023;5715;7767;8381;11021	True;True;True;True;True;True	2249;3064;5789;7905;8533;11220	13921;13922;13923;13924;13925;13926;13927;13928;13929;13930;13931;13932;18930;18931;18932;18933;18934;18935;18936;18937;18938;18939;36172;36173;36174;36175;49013;49014;49015;49016;49017;49018;49019;49020;52762;52763;52764;52765;52766;52767;69506;69507;69508;69509;69510;69511	14267;14268;14269;14270;14271;14272;14273;19293;19294;19295;19296;19297;19298;19299;19300;19301;19302;19303;19304;19305;37549;50521;50522;50523;50524;50525;50526;50527;50528;50529;50530;50531;50532;54101;54102;71460	14267;19301;37549;50525;54101;71460		
sp|Q10472|GALT1_HUMAN	sp|Q10472|GALT1_HUMAN	3	3	3	>sp|Q10472|GALT1_HUMAN Polypeptide N-acetylgalactosaminyltransferase 1 OS=Homo sapiens GN=GALNT1 PE=1 SV=1	1	3	3	3	2	3	2	3	2	2	2	3	2	3	2	2	2	3	2	3	2	2	5.4	5.4	5.4	64.218	559	559	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.2	5.4	3.8	5.4	3.8	3.8	16674000	2314100	2580700	1828300	6816500	1790400	1344400	574980	79796	88990	63046	235050	61738	46357	2178700	2425800	3090700	4733300	3291300	2836300	1	1	1	2	1	1	7				1183	4416;7743;11257	True;True;True	4473;7880;11459	27801;27802;27803;48857;48858;48859;48860;48861;71031;71032;71033;71034;71035;71036	28692;50386;73242;73243;73244;73245;73246	28692;50386;73243		
sp|Q10589|BST2_HUMAN	sp|Q10589|BST2_HUMAN	6	6	6	>sp|Q10589|BST2_HUMAN Bone marrow stromal antigen 2 OS=Homo sapiens GN=BST2 PE=1 SV=1	1	6	6	6	6	6	6	4	6	5	6	6	6	4	6	5	6	6	6	4	6	5	20	20	20	19.769	180	180	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	20	20	20	18.9	20	18.9	1721200000	133200000	382680000	329950000	123880000	437240000	314280000	172120000	13320000	38268000	32995000	12388000	43724000	31428000	203430000	518690000	312330000	121910000	451750000	409980000	9	15	14	9	17	13	77				1184	2425;5730;6897;7047;8585;11282	True;True;True;True;True;True	2457;5804;6984;7136;8740;11484	15186;15187;15188;15189;15190;36274;36275;36276;36277;36278;36279;36280;36281;36282;36283;36284;36285;36286;36287;36288;36289;36290;36291;43545;43546;43547;43548;43549;43550;43551;43552;44504;44505;44506;44507;54012;54013;54014;54015;54016;54017;71186;71187;71188;71189;71190;71191	15405;15406;15407;15408;15409;37613;37614;37615;37616;37617;37618;37619;37620;37621;37622;37623;37624;37625;37626;37627;37628;37629;37630;37631;37632;37633;37634;37635;37636;37637;37638;37639;37640;45300;45301;45302;45303;45304;45305;45306;45307;45308;45309;45310;45311;45312;45313;45314;45315;45316;45317;45318;45319;45320;45321;45322;45323;45324;46143;55340;73386;73387;73388;73389;73390;73391;73392;73393;73394;73395;73396;73397;73398;73399;73400;73401;73402	15407;37624;45304;46143;55340;73388		
sp|Q12767|TMM94_HUMAN	sp|Q12767|TMM94_HUMAN	8	8	8	>sp|Q12767|TMM94_HUMAN Transmembrane protein 94 OS=Homo sapiens GN=TMEM94 PE=1 SV=1	1	8	8	8	5	7	8	8	7	7	5	7	8	8	7	7	5	7	8	8	7	7	6.1	6.1	6.1	151.15	1356	1356	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.2	5.6	6.1	6.1	5.6	4.4	106660000	9804500	14615000	24261000	25174000	13621000	19185000	2012500	184990	275750	457760	474970	257000	361980	15122000	22150000	19074000	22560000	19143000	23345000	5	6	3	8	5	4	31				1185	1042;1393;4240;4241;6452;7957;8357;11698	True;True;True;True;True;True;True;True	1055;1413;4296;4297;6532;8099;8508;11903	6372;6373;6374;6375;6376;6377;8526;8527;8528;8529;26609;26610;26611;26612;26613;26614;26615;26616;26617;26618;26619;26620;26621;26622;26623;26624;26625;26626;40744;40745;40746;40747;40748;40749;50191;50192;50193;52595;52596;52597;52598;52599;73778;73779;73780;73781;73782;73783	6530;6531;8742;27404;27405;27406;27407;27408;27409;27410;27411;27412;27413;27414;27415;42331;42332;42333;42334;42335;42336;42337;42338;51641;53968;76252;76253;76254;76255;76256;76257	6530;8742;27406;27413;42337;51641;53968;76256		
sp|Q12769|NU160_HUMAN	sp|Q12769|NU160_HUMAN	5	5	5	>sp|Q12769|NU160_HUMAN Nuclear pore complex protein Nup160 OS=Homo sapiens GN=NUP160 PE=1 SV=3	1	5	5	5	2	4	5	5	4	4	2	4	5	5	4	4	2	4	5	5	4	4	4.5	4.5	4.5	162.12	1436	1436	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	2.1	3.7	4.5	4.5	3.7	3.7	37016000	2733600	6798400	10452000	8339900	4081600	4611200	616940	45561	113310	174190	139000	68027	76854	6297900	8153300	8424700	7402600	3677100	7159400	2	4	6	4	0	5	21				1186	638;4208;9154;9282;10151	True;True;True;True;True	644;4264;9318;9450;10332	3928;3929;3930;3931;3932;3933;26440;26441;57893;57894;57895;57896;57897;58675;58676;58677;58678;58679;58680;64108;64109;64110;64111;64112	4216;27206;59397;59398;59399;59400;59401;59402;59403;59404;60195;60196;60197;60198;60199;60200;60201;60202;60203;60204;65867	4216;27206;59401;60202;65867		
sp|Q12788|TBL3_HUMAN	sp|Q12788|TBL3_HUMAN	2	2	2	>sp|Q12788|TBL3_HUMAN Transducin beta-like protein 3 OS=Homo sapiens GN=TBL3 PE=1 SV=2	1	2	2	2	1	2	2	2	1	2	1	2	2	2	1	2	1	2	2	2	1	2	3.1	3.1	3.1	89.034	808	808	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	2	3.1	3.1	3.1	2	3.1	15350000	294380	3245500	4834200	3819300	186640	2970100	341110	6541.7	72123	107430	84873	4147.5	66002	0	3671100	4595300	4011800	0	4087300	1	2	1	2	0	1	7				1187	6549;9682	True;True	6629;9858	41387;41388;41389;41390;61136;61137;61138;61139;61140;61141	42998;42999;43000;43001;62738;62739;62740	42999;62739		
sp|Q12789|TF3C1_HUMAN	sp|Q12789|TF3C1_HUMAN	6	6	6	>sp|Q12789|TF3C1_HUMAN General transcription factor 3C polypeptide 1 OS=Homo sapiens GN=GTF3C1 PE=1 SV=4	1	6	6	6	4	6	6	4	5	6	4	6	6	4	5	6	4	6	6	4	5	6	3.1	3.1	3.1	238.87	2109	2109	0	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.1	3.1	3.1	2.1	2.6	3.1	29835000	4280600	4898200	6528000	4471600	4933200	4723400	271230	38914	44529	59345	40651	44847	42940	6243300	5635800	5564600	4560800	5992900	6487500	0	0	2	4	1	1	8				1188	4487;7961;8801;10085;12164;12507	True;True;True;True;True;True	4545;8103;8962;10266;12375;12718	28290;28291;28292;28293;50217;50218;50219;50220;50221;50222;55494;55495;55496;55497;55498;55499;63706;63707;63708;63709;63710;63711;76665;76666;76667;76668;76669;76670;78766;78767;78768	29298;51683;51684;51685;56842;65474;79132;81376	29298;51685;56842;65474;79132;81376		
sp|Q12824|SNF5_HUMAN	sp|Q12824|SNF5_HUMAN	2	2	2	>sp|Q12824|SNF5_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 OS=Homo sapiens GN=SMARCB1 PE=1 SV=2	1	2	2	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	5.5	5.5	5.5	44.141	385	385	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.4	3.4	3.4	3.4	3.4	5.5	28537000	3337800	4183900	5928100	5619200	4968300	4500000	1585400	185430	232440	329340	312180	276020	250000	0	0	0	0	0	6375300	1	1	1	1	1	2	7				1189	1235;8726	True;True	1250;8885	7522;7523;7524;7525;7526;7527;55021	7802;7803;7804;7805;7806;7807;56393	7804;56393		
sp|Q12830|BPTF_HUMAN	sp|Q12830|BPTF_HUMAN	4	4	4	>sp|Q12830|BPTF_HUMAN Nucleosome-remodeling factor subunit BPTF OS=Homo sapiens GN=BPTF PE=1 SV=3	1	4	4	4	2	3	3	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	1.5	1.5	1.5	338.26	3046	3046	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	0.8	1.1	1.1	1.1	1.2	1.1	13308000	1484200	2352200	2576300	2379500	2206000	2310000	94385	10526	16682	18271	16876	15646	16383	2453200	2444400	2481300	2096800	2938900	2981300	1	2	1	2	2	0	8				1190	6857;9426;9984;11497	True;True;True;True	6943;9597;10164;11700	43320;43321;43322;43323;59554;63088;63089;63090;63091;63092;63093;72507;72508;72509;72510;72511;72512	45034;61204;64895;74936;74937;74938;74939;74940	45034;61204;64895;74939		
sp|Q12846|STX4_HUMAN	sp|Q12846|STX4_HUMAN	1	1	1	>sp|Q12846|STX4_HUMAN Syntaxin-4 OS=Homo sapiens GN=STX4 PE=1 SV=2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.4	6.4	6.4	34.18	297	297	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.4	6.4	6.4	6.4	6.4	6.4	8287800	1330900	1790800	1452600	1417100	1378400	918070	552520	88725	119390	96837	94476	91892	61205	0	0	0	0	0	1300700	2	1	1	2	1	1	8				1191	544	True	547	3286;3287;3288;3289;3290;3291	3466;3467;3468;3469;3470;3471;3472;3473	3468		
